id,id_kabupaten_kota,kecamatan,deleted
537,29,PANOMBEIAN PANEI,F
538,39,SOSOR GADONG,F
539,25,PANYABUNGAN BARAT,F
540,40,PARLILITAN,F
541,44,SIANTAR MARIHAT,F
542,46,PANCUR BATU,F
543,30,HINAI,F
544,50,BARUS JAHE,F
545,24,HIBALA,F
546,49,SOGAE ADU (SOGAEADU),F
547,25,KOTANOPAN,F
548,37,PADANG SIDEMPUAN UTARA (PADANGSIDIMPUAN),F
549,26,SIDIKALANG,F
550,36,SEI / SUNGAI KANAN,F
551,34,BATANG ONANG,F
552,30,BATANG SERANGAN,F
553,32,ANGKOLA TIMUR (PADANG SIDEMPUAN),F
554,48,SITOLU ORI,F
555,33,RAHUNING,F
556,46,NAMO RAMBE,F
557,26,GUNUNG SITEMBER,F
558,30,BAHOROK,F
559,37,PADANG SIDEMPUAN ANGKOLA JULU,F
560,50,JUHAR,F
561,38,NASSAU,F
562,31,SILINDA,F
563,25,MUARA BATANG GADIS,F
564,28,PANGARIBUAN,F
565,40,SIJAMA POLANG,F
566,29,TAPIAN DOLOK,F
567,50,PAYUNG,F
568,50,TIGA BINANGA,F
569,24,HURUNA,F
570,29,DOLOK SILAU,F
571,24,HILIMEGAI,F
572,24,TELUK DALAM,F
573,47,GUNUNGSITOLI,F
574,24,FANAYAMA,F
575,24,TOMA,F
576,24,MANIAMOLO,F
577,24,MAZINO,F
578,24,PULAU-PULAU BATU BARAT,F
579,51,LAHOMI (GAHORI),F
580,50,SIMPANG EMPAT,F
581,50,NAMA TERAN,F
582,30,SELESAI,F
583,30,SEI BINGE (BINGAI),F
584,31,PEGAJAHAN,F
585,42,SEI BALAI,F
586,25,PANYABUNGAN UTARA,F
587,55,BINJAI KOTA,F
588,26,TIGA LINGGA,F
589,52,MEDAN LABUHAN,F
590,30,WAMPU,F
591,56,TELUK NIBUNG,F
592,55,BINJAI SELATAN,F
593,35,HURISTAK,F
594,52,MEDAN DENAI,F
595,39,MANDUAMAS,F
596,24,SUSUA,F
597,46,GUNUNG MERIAH,F
598,53,SALAK,F
599,31,TELUK MENGKUDU,F
600,40,LINTONG NIHUTA,F
601,39,SITAHUIS,F
602,28,PURBATUA,F
603,39,ANDAM DEWI,F
604,29,HATONDUHAN,F
605,24,LOLOMATUA,F
606,48,TUGALA OYO,F
607,39,SORKAM,F
608,30,BABALAN,F
609,42,SEI SUKA,F
610,30,BESITANG,F
611,51,ULU MORO\O (ULU NARWO),F
612,50,DOLAT RAYAT,F
613,46,HAMPARAN PERAK,F
614,26,LAE PARIRA,F
615,50,LAUBALENG,F
616,53,TINADA,F
617,56,DATUK BANDAR TIMUR,F
618,43,SITIO-TIO,F
619,33,KISARAN BARAT KOTA,F
620,33,PULO BANDRING,F
621,31,SEI RAMPAH,F
622,55,BINJAI UTARA,F
623,53,SITELLU TALI URANG JULU,F
624,52,MEDAN HELVETIA,F
625,30,SECANGGANG,F
626,50,MERDEKA,F
627,38,SILAEN,F
628,30,PEMATANG JAYA,F
629,55,BINJAI TIMUR,F
630,46,DELI TUA,F
631,49,HILIDUHO,F
632,51,MANDREHE,F
633,29,SIANTAR,F
634,38,ULUAN,F
635,43,HARIAN,F
636,26,SUMBUL,F
637,50,BRASTAGI (BERASTAGI),F
638,52,MEDAN TIMUR,F
639,28,SIATAS BARITA,F
640,47,GUNUNGSITOLI ALO\OA,F
641,51,MANDREHE BARAT,F
642,24,ONOHAZUMBA,F
643,47,GUNUNGSITOLI SELATAN,F
644,49,ULUGAWO,F
645,24,SOMAMBAWA,F
646,47,GUNUNGSITOLI BARAT,F
647,56,DATUK BANDAR,F
648,33,KISARAN TIMUR KOTA,F
649,52,MEDAN JOHOR,F
650,29,GIRSANG SIPANGAN BOLON,F
