id,id_kecamatan,kelurahan_desa,kode_pos,deleted
23423,1580,SINAR MAS ALAM,34511,F
23424,1575,SINAR MULYO,35679,F
23425,1658,SINAR MULYO / MULYA,35373,F
23426,1745,SINAR NEGERI,34176,F
23427,1560,SINAR OGAN,34581,F
23428,1692,SINAR OGAN,35361,F
23429,1663,SINAR PALEMBANG,35356,F
23430,1663,SINAR PASEMAH,35356,F
23431,1628,SINAR PETIR,35377,F
23432,1646,SINAR REJEKI,35365,F
23433,1573,SINAR REJO,34174,F
23434,1573,SINAR SARI,34174,F
23435,1620,SINAR SAUDARA,35686,F
23436,1576,SINAR SEKAMPUNG,35679,F
23437,1628,SINAR SEMENDO,35377,F
23438,1634,SINAR SEPUTIH,34173,F
23439,1564,SINAR WAYA,35674,F
23440,1640,SINARBANDUNG,35353,F
23441,1746,SINARMULYA,34557,F
23442,1652,SINARPETIR,35682,F
23443,1746,SINDANG AGUNG,34557,F
23444,1647,SINDANG ANOM,34385,F
23445,1653,SINDANG GARUT,35367,F
23446,1575,SINDANG MARGA,35679,F
23447,1746,SINDANG MARGA,34557,F
23448,1783,SINDANG PAGAR,34871,F
23449,1688,SINDANG SARI,34517,F
23450,1692,SINDANG SARI,35361,F
23451,1628,SINGOSARI,35377,F
23452,1566,SIRAMAN,34391,F
23453,1614,SIRING GADING,34883,F
23454,1617,SIRING JAHA,35353,F
23455,1650,SIRNA GALIH,34554,F
23456,1574,SIRNAGALIH,35387,F
23457,1781,SISWA BANGUN,34156,F
23458,1620,SOPONYONO,35686,F
23459,1761,SRENGSEM,35242,F
23460,1625,SRI AGUNG,34175,F
23461,1717,SRI AGUNG,34554,F
23462,1744,SRI BANDUNG,34582,F
23463,1565,SRI BASUKI,34381,F
23464,1573,SRI BASUKI,34174,F
23465,1681,SRI BASUKI,34769,F
23466,1781,SRI BASUKI,34156,F
23467,1610,SRI BAWONO (BHAWONO),34389,F
23468,1782,SRI BAWONO,34179,F
23469,1782,SRI BUDAYA,34179,F
23470,1782,SRI BUSONO,34179,F
23471,1573,SRI DADI,34174,F
23472,1621,SRI GADING,34198,F
23473,1696,SRI GEDUNG MULYA,34684,F
23474,1717,SRI JAYA,34554,F
23475,1700,SRI KATON,34161,F
23476,1638,SRI KATON,35386,F
23477,1732,SRI KATON,34158,F
23478,1692,SRI KATON,35361,F
23479,1708,SRI KENCANA (KENCONO),34168,F
23480,1638,SRI KUNCORO,35386,F
23481,1620,SRI MELATI,35686,F
23482,1749,SRI MENANTI,34876,F
23483,1610,SRI MENANTI,34389,F
23484,1561,SRI MENANTI,34769,F
23485,1746,SRI MENANTI,34557,F
23486,1621,SRI MINOSARI,34198,F
23487,1732,SRI MULYA JAYA,34158,F
23488,1622,SRI MULYO,35513,F
23489,1573,SRI MULYO,34174,F
23490,1561,SRI MULYO,34769,F
23491,1610,SRI PENDOWO,34389,F
23492,1634,SRI PENDOWO,34173,F
23493,1636,SRI PENDOWO,35596,F
23494,1573,SRI PURNOMO,34174,F
23495,1638,SRI PURNOMO,35386,F
23496,1658,SRI RAHAYU,35373,F
23497,1684,SRI REJEKI,34764,F
23498,1689,SRI REJOSARI,34396,F
23499,1588,SRI SAWAHAN,34152,F
23500,1772,SRI TEJO KENCONO,34153,F
23501,1714,SRI TUNGGAL,34767,F
23502,1689,SRI WANGI,34396,F
23503,1573,SRI WAY LANGSEP,34174,F
23504,1632,SRI / SERI TANJUNG,34598,F
23505,1688,SRIBASUKI,34515,F
23506,1620,SRIDADI,35686,F
23507,1564,SRIKATON,35674,F
23508,1575,SRIMANGANTEN,35679,F
23509,1609,SRIMULYO,34882,F
23510,1667,SRIWEDARI,35363,F
23511,1754,SRIWIJAYA MATARAM,34169,F
23512,1684,SRIWIJAYA,34764,F
23513,1658,SRIWUNGU,35373,F
23514,1617,SUAK,35353,F
23515,1665,SUBAN,35357,F
23516,1675,SUBANG JAYA,34159,F
23517,1744,SUBIK,34582,F
23518,1642,SUBING KARYA,34164,F
23519,1638,SUDIMORO BANGUN,35386,F
23520,1638,SUDIMORO,35386,F
23521,1652,SUKA AGUNG BARAT,35682,F
23522,1652,SUKA AGUNG TIMUR,35682,F
23523,1714,SUKA AGUNG,34767,F
23524,1696,SUKA AGUNG,34684,F
23525,1628,SUKA BANDUNG,35377,F
23526,1751,SUKA BANJAR II UJUNG REMBUN,34879,F
23527,1651,SUKA BANJAR,35683,F
23528,1670,SUKA BANJAR,35384,F
23529,1751,SUKA BANJAR,34879,F
23530,1709,SUKA BANJAR,34883,F
23531,1668,SUKA BHAKTI,34595,F
23532,1602,SUKA JADI,34874,F
23533,1733,SUKA JAWA,35151,F
23534,1626,SUKA JAYA PIDADA,35453,F
